"","Pin25307","Pin25708","Pin25825","Pin27584","Pin35790","Pin35791"
"Serratia entomophila",36,31,43,54,38,56
"Serratia fonticola",81,45,51,0,63,81
"Serratia grimesii",0,0,0,28,0,0
"Serratia liquefaciens",0,0,58,0,0,0
"Serratia marcescens",645,544,576,677,702,879
"Serratia odorifera",29,29,25,40,43,44
"Serratia plymuthica",96,73,107,98,107,97
"Serratia proteamaculans",75,31,29,0,41,0
"Serratia rubidaea",72,62,92,94,68,85
"Serratia symbiotica",0,0,0,27,26,0
"Immundisolibacter cernigliae",374,282,436,288,316,478
"Aquicella lusitana",0,0,25,0,0,0
"Aquicella siphonis",31,0,33,31,0,0
"Coxiella burnetii",31,29,37,0,33,33
"Rickettsiella Candidatus Rickettsiella viridis",0,0,36,0,0,0
"Rickettsiella endosymbiont of Dermanyssus gallinae",0,0,48,0,0,0
"Legionella geestiana",38,0,0,0,0,0
"Legionella pneumophila",0,0,0,0,0,49
"Candidatus Methylospira mobilis",71,57,77,60,74,106
"Methylocaldum marinum",180,134,141,135,158,205
"Methylococcus capsulatus",198,128,163,122,149,172
"Methylococcus geothermalis",169,121,184,117,158,209
"Methylococcus sp. EFPC2",215,154,218,132,151,252
"Methylococcus sp. Mc7",249,185,243,167,167,287
"Methylogaea oryzae",203,150,189,141,149,168
"Methylomagnum ishizawai",177,134,200,171,151,239
"Methylomicrobium album",140,94,148,156,152,212
"Methylomicrobium sp. wino1",78,53,75,72,86,75
"Methylomonas denitrificans",54,37,51,48,54,65
"Methylomonas koyamae",140,113,104,126,93,156
"Methylomonas methanica",52,0,46,42,33,40
"Methylomonas paludis",0,0,0,25,20,28
"Methylomonas rhizoryzae",49,36,43,48,44,66
"Methylomonas sp. DH-1",59,0,68,0,65,0
"Methylomonas sp. EFPC1",0,0,27,40,0,40
"Methylomonas sp. LL1",83,50,58,93,73,85
"Methylomonas sp. LW13",54,46,28,46,40,68
"Methylotuvimicrobium alcaliphilum",0,0,42,57,73,63
"Methylotuvimicrobium buryatense",0,0,46,43,0,76
"Methylovulum psychrotolerans",27,0,31,61,30,22
"Acinetobacter calcoaceticus",0,0,0,0,0,39
"Acinetobacter johnsonii",0,0,0,0,0,496
"Acinetobacter radioresistens",0,0,66,0,0,0
"Acinetobacter sp. WCHAc010034",0,0,95,0,0,92
"Aquirhabdus parva",26,0,0,0,0,28
"Moraxella osloensis",42,0,0,0,0,0
"Flagellatimonas centrodinii",162,125,193,122,127,212
"Sinimarinibacterium sp. NLF-5-8",169,120,177,124,161,176
"Solimonas sp. K1W22B-7",581,366,547,348,380,563
"Steroidobacter denitrificans",766,511,938,478,380,1129
"Alcanivorax dieselolei",68,58,92,70,79,125
"Alcanivorax pacificus",134,100,184,103,108,170
"Alcanivorax sp. N3-2A",296,215,314,205,170,248
"Alcanivorax xenomutans",107,57,75,92,74,115
"Ketobacter alkanivorans",25,0,27,23,27,0
"Endozoicomonas montiporae",0,0,0,21,0,0
"Hahella chejuensis",44,36,29,41,49,35
"Hahella sp. KA22",33,25,51,45,38,47
"Chromohalobacter salexigens",126,101,148,86,107,156
"Cobetia sp. cqz5-12",0,0,0,154,173,209
"Cobetia sp. L2A1",142,90,166,46,50,59
"Halomonas aestuarii",129,132,135,117,135,178
"Halomonas beimenensis",165,163,173,138,153,201
"Halomonas chromatireducens",83,89,114,49,83,132
"Halomonas elongata",71,77,118,102,85,137
"Halomonas huangheensis",77,51,49,40,38,69
"Halomonas meridiana",249,116,125,137,194,223
"Halomonas piezotolerans",126,66,82,64,68,101
"Halomonas profundi",0,0,25,0,26,0
"Halomonas socia",164,134,131,135,140,161
"Halomonas sp. 1513",144,137,115,154,176,172
"Halomonas sp. 18071143",0,0,0,0,0,147
"Halomonas sp. A40-4",42,36,44,69,32,45
"Halomonas sp. FeN2",0,53,41,0,0,62
"Halomonas sp. HG01",117,117,116,109,126,143
"Halomonas sp. JS92-SW72",148,182,242,174,175,233
"Halomonas sp. KO116",57,0,0,0,0,68
"Halomonas sp. MCCC 1A13316",112,96,111,78,85,155
"Halomonas sp. PGE1",191,108,174,133,121,251
"Halomonas sp. R57-5",0,0,0,68,52,0
"Halomonas sp. SH5A2",40,28,43,0,0,39
"Halomonas sp. THAF12",146,163,154,86,121,156
"Halomonas sp. THAF5a",187,193,181,162,174,217
"Halomonas sp. Y2R2",54,41,65,29,42,68
"Halomonas sp. YLGW01",120,103,122,79,99,145
"Halomonas subglaciescola",65,38,77,66,58,79
"Halomonas sulfidivorans",103,121,148,97,118,183
"Halomonas tianxiuensis",142,120,131,117,119,149
"Halomonas titanicae",0,0,312,0,0,0
"Halotalea alkalilenta",176,190,200,165,178,249
"Kushneria konosiri",42,33,44,28,27,52
"Kushneria marisflavi",46,37,42,31,39,44
"Kushneria phosphatilytica",46,48,44,37,45,62
"Pistricoccus aurantiacus",67,75,84,60,68,89
"Salinicola tamaricis",159,146,155,144,133,212
"Zymobacter palmae",34,29,0,0,42,34
"Litoricola lipolytica",33,21,25,26,0,24
"Bacterioplanes sanyensis",0,0,0,22,0,30
"Marinobacterium aestuarii",100,71,89,67,50,92
"Marinobacterium georgiense",45,58,55,0,49,77
"Marinobacterium sediminicola",39,43,34,29,0,47
"Nitrincola iocasae",0,0,0,0,0,33
"Venatorbacter cucullus",35,0,33,29,26,33
"Gynuella sunshinyii",0,0,0,0,22,0
"Reinekea forsetii",31,20,0,21,22,32
"Saccharospirillum mangrovi",53,40,54,41,46,68
"Marinobacter fonticola",50,47,54,49,73,83
"Marinobacter nauticus",87,61,82,80,75,91
"Marinobacter salarius",67,59,84,51,55,94
"Marinobacter salinus",29,0,30,32,46,34
"Marinobacter salsuginis",57,0,54,33,28,71
"Marinobacter similis",51,48,46,24,38,52
"Marinobacter sp. Arc7-DN-1",62,69,60,63,54,70
"Marinobacter sp. CA1",58,54,84,43,61,67
"Marinobacter sp. CP1",0,0,0,99,0,0
"Marinobacter sp. es.042",0,0,0,0,73,0
"Marinobacter sp. JH2",0,0,0,0,40,0
"Marinobacter sp. LPB0319",47,35,31,44,61,47
"Marinobacter sp. LQ44",0,0,0,0,0,74
"Marinobacter sp. LV10R510-11A",24,0,29,0,0,21
"Marinobacter sp. NP-4(2019)",100,0,86,43,52,62
"Azotobacter chroococcum",213,235,254,179,273,348
"Azotobacter salinestris",104,104,122,136,109,164
"Halopseudomonas aestusnigri",82,68,86,89,89,151
"Halopseudomonas litoralis",51,45,78,52,56,67
"Halopseudomonas sabulinigri",65,38,47,41,37,45
"Halopseudomonas salegens",48,26,38,40,36,34
"Halopseudomonas sp. RR6",55,47,62,41,61,76
"Halopseudomonas xinjiangensis",63,35,73,54,57,69
"Permianibacter aggregans",95,39,62,66,64,83
"Pseudomonas aeruginosa",5122,5311,4907,4350,6024,6971
"Pseudomonas agarici",42,33,49,55,42,56
"Pseudomonas alcaligenes",373,250,425,246,291,421
"Pseudomonas alcaliphila",58,47,51,0,51,82
"Pseudomonas alkylphenolica",131,90,120,79,93,131
"Pseudomonas allokribbensis",55,39,25,37,39,59
"Pseudomonas alvandae",71,48,61,72,68,86
"Pseudomonas amygdali",0,0,141,0,0,0
"Pseudomonas antarctica",50,47,55,58,63,79
"Pseudomonas anuradhapurensis",0,0,0,0,0,42
"Pseudomonas argentinensis",112,83,97,85,101,117
"Pseudomonas arsenicoxydans",174,36,80,57,69,110
"Pseudomonas asgharzadehiana",35,26,40,34,90,175
"Pseudomonas asplenii",0,0,0,0,0,42
"Pseudomonas asturiensis",75,75,50,60,62,330
"Pseudomonas atacamensis",37,0,26,0,46,85
"Pseudomonas azerbaijanoriens",396,75,139,60,37,76
"Pseudomonas azotoformans",143,80,138,132,146,175
"Pseudomonas balearica",454,384,432,329,376,541
"Pseudomonas brassicacearum",284,370,101,238,366,425
"Pseudomonas brenneri",65,32,56,0,41,31
"Pseudomonas campi",119,80,167,65,89,162
"Pseudomonas cavernae",191,127,194,151,185,233
"Pseudomonas cedrina",61,38,57,38,34,48
"Pseudomonas chloritidismutans",0,0,35,0,0,0
"Pseudomonas chlororaphis",829,587,564,639,842,1055
"Pseudomonas cichorii",108,54,78,73,101,133
"Pseudomonas citronellolis",145,165,108,174,244,219
"Pseudomonas congelans",37,31,34,41,46,83
"Pseudomonas coronafaciens",68,54,76,47,62,73
"Pseudomonas corrugata",86,30,61,51,48,74
"Pseudomonas cremoricolorata",98,55,68,60,52,95
"Pseudomonas entomophila",115,155,150,161,139,211
"Pseudomonas eucalypticola",119,75,108,81,84,105
"Pseudomonas extremaustralis",80,32,55,53,58,57
"Pseudomonas fakonensis",57,48,46,53,42,61
"Pseudomonas fluorescens",2733,1104,1375,1303,1387,2764
"Pseudomonas fragi",89,57,63,0,73,91
"Pseudomonas frederiksbergensis",400,97,147,187,178,368
"Pseudomonas fulva",136,84,150,128,76,183
"Pseudomonas furukawaii",182,167,220,135,158,238
"Pseudomonas fuscovaginae",0,0,0,39,67,51
"Pseudomonas gozinkensis",62,0,26,0,47,43
"Pseudomonas graminis",72,35,40,48,85,487
"Pseudomonas granadensis",103,61,50,58,63,75
"Pseudomonas guangdongensis",128,128,131,81,141,172
"Pseudomonas hamedanensis",83,52,59,46,44,69
"Pseudomonas iranensis",34,0,0,0,0,57
"Pseudomonas khazarica",0,0,0,0,0,56
"Pseudomonas knackmussii",294,305,347,357,356,467
"Pseudomonas koreensis",124,82,68,84,67,184
"Pseudomonas kribbensis",82,53,0,61,70,67
"Pseudomonas kunmingensis",57,0,0,0,0,65
"Pseudomonas lactis",0,0,0,0,0,300
"Pseudomonas lalkuanensis",155,124,119,150,140,182
"Pseudomonas libanensis",0,0,38,0,0,96
"Pseudomonas lini",184,41,122,74,270,748
"Pseudomonas lundensis",67,26,49,33,53,76
"Pseudomonas lurida",68,34,45,52,41,90
"Pseudomonas mandelii",160,0,47,121,85,187
"Pseudomonas marincola",76,49,102,59,47,111
"Pseudomonas maumuensis",40,0,43,46,52,58
"Pseudomonas mediterranea",72,45,38,68,49,104
"Pseudomonas mendocina",386,277,381,244,281,466
"Pseudomonas migulae",170,72,116,74,83,187
"Pseudomonas monsensis",46,0,0,0,0,0
"Pseudomonas monteilii",139,0,86,0,89,100
"Pseudomonas moraviensis",58,0,40,59,54,93
"Pseudomonas mosselii",83,94,0,130,93,151
"Pseudomonas mucidolens",48,31,44,45,46,57
"Pseudomonas multiresinivorans",78,74,96,81,53,118
"Pseudomonas muyukensis",54,57,61,67,66,86
"Pseudomonas nanhaiensis",119,96,123,75,91,136
"Pseudomonas nitroreducens",80,0,62,0,0,0
"Pseudomonas ogarae",44,63,47,0,0,53
"Pseudomonas oleovorans",86,106,90,138,198,123
"Pseudomonas orientalis",155,100,144,83,122,225
"Pseudomonas oryzae",198,206,214,196,168,280
"Pseudomonas oryzihabitans",274,218,208,173,216,314
"Pseudomonas oryziphila",0,0,0,0,0,52
"Pseudomonas otitidis",232,207,222,164,198,271
"Pseudomonas palleroniana",67,31,49,53,26,60
"Pseudomonas parafulva",137,112,82,88,123,174
"Pseudomonas phragmitis",72,47,52,58,66,90
"Pseudomonas plecoglossicida",123,123,122,132,119,147
"Pseudomonas poae",91,45,133,70,131,428
"Pseudomonas pohangensis",96,68,103,57,81,134
"Pseudomonas promysalinigenes",60,47,54,45,58,74
"Pseudomonas prosekii",119,33,67,52,49,89
"Pseudomonas protegens",1812,241,11339,271,225,446
"Pseudomonas psychrophila",41,0,42,0,47,52
"Pseudomonas psychrotolerans",213,205,257,224,241,329
"Pseudomonas putida",2822,2150,2143,2229,2581,3120
"Pseudomonas qingdaonensis",119,56,90,74,77,143
"Pseudomonas reinekei",135,31,69,28,42,91
"Pseudomonas resinovorans",142,161,187,146,170,231
"Pseudomonas rhizosphaerae",97,62,85,58,69,89
"Pseudomonas rhodesiae",105,76,116,90,106,133
"Pseudomonas saudiphocaensis",78,46,90,38,54,86
"Pseudomonas sediminis",48,36,38,35,47,50
"Pseudomonas sihuiensis",53,0,39,64,0,68
"Pseudomonas silesiensis",460,84,325,49,62,126
"Pseudomonas simiae",63,33,34,30,0,52
"Pseudomonas sp. 02C 26",0,0,0,0,0,113
"Pseudomonas sp. 09C 129",0,0,0,0,0,56
"Pseudomonas sp. 14181154",0,0,45,0,0,65
"Pseudomonas sp. 15A4",58,47,58,45,141,465
"Pseudomonas sp. 2hn",48,71,42,44,64,61
"Pseudomonas sp. 3-2",114,0,0,0,0,0
"Pseudomonas sp. 31-12",236,74,104,68,94,139
"Pseudomonas sp. 7SR1",110,52,63,54,62,109
"Pseudomonas sp. ABC1",95,55,98,66,78,111
"Pseudomonas sp. ACM7",410,54,118,136,71,226
"Pseudomonas sp. ADAK13",272,45,66,51,61,108
"Pseudomonas sp. ADAK18",57,0,0,28,31,48
"Pseudomonas sp. ADAK22",0,0,0,0,0,236
"Pseudomonas sp. ADPe",210,128,180,177,128,229
"Pseudomonas sp. AO-1",105,0,70,0,0,50
"Pseudomonas sp. ATCC 13867",169,150,138,107,140,230
"Pseudomonas sp. ATCC 43928",240,0,0,290,229,173
"Pseudomonas sp. B10",0,0,36,0,0,81
"Pseudomonas sp. B11D7D",63,38,69,40,61,86
"Pseudomonas sp. BIOMIG1BAC",127,0,0,0,0,0
"Pseudomonas sp. C27(2019)",30,0,0,0,0,0
"Pseudomonas sp. CC6-YY-74",147,76,163,72,79,152
"Pseudomonas sp. CCOS 191",0,84,64,0,0,41
"Pseudomonas sp. CMR5c",91,63,64,45,72,82
"Pseudomonas sp. DG56-2",91,40,55,61,67,76
"Pseudomonas sp. DNDY-54",74,44,70,48,51,109
"Pseudomonas sp. DR 5-09",0,0,101,0,0,0
"Pseudomonas sp. DR48",268,93,157,120,92,167
"Pseudomonas sp. DTU12.1",0,0,250,0,0,0
"Pseudomonas sp. DTU12.3",178,72,104,45,60,151
"Pseudomonas sp. DY-1",130,95,152,73,110,137
"Pseudomonas sp. FDAARGOS_380",0,0,0,0,0,59
"Pseudomonas sp. FIT28",65,107,63,0,240,424
"Pseudomonas sp. FIT81",60,0,37,41,50,45
"Pseudomonas sp. gcc21",88,56,88,68,118,125
"Pseudomonas sp. GR 6-02",143,0,0,185,162,197
"Pseudomonas sp. HLS-6",85,59,96,40,79,111
"Pseudomonas sp. HN11",47,0,41,39,31,52
"Pseudomonas sp. HN2",42,0,0,0,0,64
"Pseudomonas sp. HN2-3",82,55,62,53,65,100
"Pseudomonas sp. HS-18",0,0,0,0,0,130
"Pseudomonas sp. IB20",31,0,29,0,0,52
"Pseudomonas sp. IzPS59",62,36,0,49,41,52
"Pseudomonas sp. KNUC1026",103,90,114,89,73,128
"Pseudomonas sp. L5B5",88,51,67,59,55,93
"Pseudomonas sp. LAB-08",390,63,183,69,100,179
"Pseudomonas sp. LBUM920",0,0,0,0,0,206
"Pseudomonas sp. Leaf58",61,33,39,27,47,72
"Pseudomonas sp. LG1E9",61,0,124,47,32,76
"Pseudomonas sp. LPB0260",101,61,99,61,74,110
"Pseudomonas sp. LPH1",37,54,0,0,0,0
"Pseudomonas sp. LS.1a",42,40,38,44,0,45
"Pseudomonas sp. LTJR-52",39,0,0,0,0,0
"Pseudomonas sp. M30-35",49,0,51,0,39,43
"Pseudomonas sp. Marseille-Q3773",62,47,31,48,50,77
"Pseudomonas sp. MM211",104,67,87,57,57,103
"Pseudomonas sp. MM213",378,85,112,76,90,214
"Pseudomonas sp. MPC6",800,70,149,79,79,156
"Pseudomonas sp. MRSN12121",73,0,59,0,0,92
"Pseudomonas sp. MSPm1",36,51,52,48,53,78
"Pseudomonas sp. MTM4",95,76,93,84,76,88
"Pseudomonas sp. NIBR-H-19",113,47,59,31,55,149
"Pseudomonas sp. NIBRBAC000502773",0,0,0,0,0,58
"Pseudomonas sp. NS1(2017)",43,0,46,30,0,70
"Pseudomonas sp. OE 28.3",52,45,60,36,177,200
"Pseudomonas sp. OIL-1",87,65,77,56,102,100
"Pseudomonas sp. Ost2",138,82,105,83,86,182
"Pseudomonas sp. p1(2021b)",134,136,169,121,165,153
"Pseudomonas sp. Pc102",80,76,56,81,62,78
"Pseudomonas sp. PDNC002",107,108,144,97,113,178
"Pseudomonas sp. phDV1",110,0,0,0,0,0
"Pseudomonas sp. PP3",273,73,163,54,75,124
"Pseudomonas sp. R2A2",48,0,52,0,0,51
"Pseudomonas sp. R5-89-07",55,0,60,33,0,38
"Pseudomonas sp. R76",32,0,0,0,0,39
"Pseudomonas sp. R84",117,69,96,40,116,115
"Pseudomonas sp. RC3H12",45,56,63,42,0,57
"Pseudomonas sp. RtIB026",40,0,53,44,43,66
"Pseudomonas sp. RU47",184,0,217,0,0,132
"Pseudomonas sp. S09G 359",93,0,59,30,42,106
"Pseudomonas sp. S34",3656,318,1287,215,82,318
"Pseudomonas sp. S35",46,51,64,0,45,61
"Pseudomonas sp. S49",145,0,0,0,154,164
"Pseudomonas sp. SC3(2021)",64,0,0,0,0,50
"Pseudomonas sp. SCA2728.1_7",111,62,139,46,552,145
"Pseudomonas sp. SCB32",137,109,138,100,86,161
"Pseudomonas sp. SDM007",52,0,57,0,0,82
"Pseudomonas sp. Seg1",115,40,89,52,53,78
"Pseudomonas sp. SGAir0191",0,0,0,0,0,36
"Pseudomonas sp. SK3(2021)",0,0,0,0,0,65
"Pseudomonas sp. St316",36,32,45,38,47,57
"Pseudomonas sp. StFLB209",91,90,102,83,80,143
"Pseudomonas sp. TCU-HL1",114,74,97,96,92,161
"Pseudomonas sp. Tri1",72,53,44,43,48,64
"Pseudomonas sp. URMO17WK12:I11",1510,123,396,775,260,255
"Pseudomonas sp. UW4",631,78,217,89,45,106
"Pseudomonas sp. Z003-0.4C(8344-21)",40,0,35,0,42,76
"Pseudomonas stutzeri",1634,1441,1709,1440,1451,2081
"Pseudomonas synxantha",187,122,123,129,166,197
"Pseudomonas syringae group genomosp. 3",0,0,0,0,0,228
"Pseudomonas syringae group genomosp. 7",49,38,71,25,52,79
"Pseudomonas syringae",681,470,374,458,462,662
"Pseudomonas taetrolens",52,24,51,33,30,56
"Pseudomonas tensinigenes",60,0,77,42,60,94
"Pseudomonas thivervalensis",64,31,57,32,40,70
"Pseudomonas tohonis",70,98,57,65,66,124
"Pseudomonas tolaasii",63,53,63,47,55,71
"Pseudomonas toyotomiensis",0,55,38,50,0,53
"Pseudomonas tritici",30,0,152,0,29,78
"Pseudomonas trivialis",68,49,74,60,112,109
"Pseudomonas tructae",44,46,53,44,44,63
"Pseudomonas umsongensis",986,86,209,84,90,174
"Pseudomonas vancouverensis",196,54,106,59,87,100
"Pseudomonas vanderleydeniana",111,97,86,74,65,116
"Pseudomonas veronii",95,0,0,129,0,115
"Pseudomonas versuta",49,28,0,29,36,48
"Pseudomonas viciae",50,37,42,40,34,70
"Pseudomonas viridiflava",167,128,142,124,153,380
"Pseudomonas wenzhouensis",51,48,44,52,46,56
"Pseudomonas xantholysinigenes",56,47,31,55,48,61
"Pseudomonas xanthomarina",76,56,52,56,78,96
"Pseudomonas xanthosomae",43,56,45,34,39,84
"Pseudomonas yamanorum",166,69,83,86,83,119
"Pseudomonas zarinae",35,57,26,0,0,0
"Pseudomonas zeae",62,148,0,43,475,438
"Pseudomonas zhaodongensis",115,77,92,75,134,152
"Salinisphaera endosymbiont of unidentified scaly snail isolate Monju",159,145,182,114,146,195
"Salinisphaera sp. LB1",184,166,231,184,155,232
"Hydrogenovibrio thermophilus",0,0,0,0,0,36
"Thiothrix litoralis",50,0,29,32,23,49
"Thiothrix sp. CT3",0,0,0,0,38,48
"Thiothrix subterranea",0,0,36,30,31,0
"Thiothrix unzii",0,0,0,0,0,32
"Candidatus Reidiella endopervernicosa",48,48,60,53,35,75
"Photobacterium gaetbulicola",27,31,0,26,0,0
"Photobacterium ganghwense",0,0,29,0,37,34
"Pseudohongiella spirulinae",31,20,24,26,0,41
"Sedimenticola thiotaurini",81,38,59,41,61,101
"Thiolapillus brandeum",72,31,57,43,40,55
"Vibrio fluvialis",54,0,66,71,61,76
"Vibrio furnissii",90,0,67,0,108,59
"Vibrio navarrensis",0,0,0,77,0,0
"Vibrio parahaemolyticus",0,0,0,0,0,64
"Vibrio sp. OG9-811",0,0,0,0,0,33
"Vibrio vulnificus",64,0,64,0,65,61
"Aerosticca soli",838,704,834,747,921,1070
"Ahniella affigens",162,100,172,134,159,271
"Dokdonella koreensis",573,428,635,514,745,716
"Dyella caseinilytica",122,93,131,137,166,177
"Dyella japonica",184,203,229,208,614,394
"Dyella sp. M7H15-1",87,56,73,71,105,113
"Dyella telluris",196,146,225,172,553,378
"Dyella terrae",134,101,152,170,357,270
"Dyella thiooxydans",336,255,353,320,421,414
"Frateuria aurantia",90,73,103,83,142,136
"Frateuria sp. 5GH9-11",283,309,332,264,351,349
"Frateuria sp. 5GH9-34",274,209,270,275,388,372
"Luteibacter pinisoli",252,209,279,268,260,379
"Luteibacter rhizovicinus",241,220,292,247,345,381
"Rhodanobacter denitrificans",497,316,422,1011,482,618
"Rhodanobacter glycinis",199,154,202,213,241,240
"Rhodanobacter sp. FDAARGOS 1247",321,229,328,511,327,439
"Rhodanobacter thiooxydans",317,184,316,482,344,454
"Arenimonas daejeonensis",858,345,1980,499,532,1958
"Luteimonas chenhongjianii",243,166,330,193,251,399
"Luteimonas granuli",320,218,391,280,276,505
"Luteimonas sp. D4P002",303,177,744,249,262,547
"Luteimonas sp. JM171",239,159,339,209,153,309
"Luteimonas sp. MC1572",311,181,400,224,224,562
"Luteimonas sp. MC1750",347,192,422,288,267,592
"Luteimonas sp. MC1825",310,187,372,252,239,519
"Luteimonas sp. S4-F44",318,188,330,218,249,455
"Luteimonas sp. YGD11-2",312,191,428,196,239,528
"Luteimonas yindakuii",261,186,307,255,234,456
"Lysobacter alkalisoli",294,149,373,301,272,740
"Lysobacter antibioticus",422,251,446,401,344,1010
"Lysobacter arenosi",496,374,571,321,288,1174
"Lysobacter capsici",1625,920,1515,1435,1093,3415
"Lysobacter enzymogenes",805,620,1032,873,721,1839
"Lysobacter gummosus",653,436,721,424,468,1262
"Lysobacter lycopersici",561,383,558,416,356,957
"Lysobacter maris",389,253,383,306,256,731
"Lysobacter oculi",358,204,364,241,243,650
"Lysobacter soli",606,361,631,410,423,1334
"Lysobacter solisilvae (ex Kim et al. 2021)",585,267,557,408,362,2291
"Lysobacter solisilvae (ex Woo and Kim 2022)",602,264,661,516,358,2509
"Lysobacter sp. 5GHs7-4",502,229,574,361,261,1770
"Lysobacter sp. CECT 30171",389,178,435,310,261,719
"Lysobacter sp. CJ11",90,38,107,89,87,185
"Lysobacter sp. CW239",447,258,533,412,303,853
"Lysobacter sp. H21R20",149,115,172,129,103,244
"Lysobacter sp. H21R4",138,84,186,131,98,269
"Lysobacter sp. H23M41",138,0,218,105,157,397
"Lysobacter sp. H23M47",146,162,183,143,145,309
"Lysobacter sp. HDW10",80,39,81,55,43,129
"Lysobacter sp. K5869",290,157,312,228,233,605
"Lysobacter sp. KIS68-7",826,714,642,791,446,2356
"Lysobacter sp. S4-A87",543,378,659,408,346,1368
"Lysobacter sp. TY2-98",532,319,572,474,427,983
"Pseudolysobacter antarcticus",289,188,291,275,505,340
"Pseudoxanthomonas daejeonensis",303,194,530,186,215,540
"Pseudoxanthomonas mexicana",806,400,1281,510,455,1664
"Pseudoxanthomonas sp. X-1",529,352,800,427,443,949
"Pseudoxanthomonas spadix",295,173,370,188,223,571
"Pseudoxanthomonas suwonensis",574,408,1042,490,515,1076
"Stenotrophomonas acidaminiphila",723,458,1099,619,570,1104
"Stenotrophomonas indicatrix",0,0,0,0,0,108
"Stenotrophomonas maltophilia",2394,1667,3039,2050,1997,3973
"Stenotrophomonas rhizophila",679,268,964,316,340,1166
"Stenotrophomonas sp. 169",130,101,526,113,139,321
